timestamp,framework,commit,model,quant,threads,numa,pp512_tps,tg128_tps,file_size_bytes,bpw,ppl_wt2_c2048,ppl_fp16_anchor,tool,notes
2026-07-14T07:38:52Z,llama.cpp,2969d6d15d67a08e7b83f26164b15350c79c5248,Qwen3-0.6B,F16,24,none,,,1509347136,16.0,18.4881,18.4881,llama-perplexity,wt2-raw full test; ctx2048; no-imatrix
2026-07-14T07:38:52Z,llama.cpp,2969d6d15d67a08e7b83f26164b15350c79c5248,Qwen3-0.6B,F16,1,none,48.47,9.76,1509347136,16.0,,,llama-bench,p512 n128 r3; no-imatrix
2026-07-14T07:38:52Z,llama.cpp,2969d6d15d67a08e7b83f26164b15350c79c5248,Qwen3-0.6B,F16,6,none,257.18,31.1,1509347136,16.0,,,llama-bench,p512 n128 r3; no-imatrix
2026-07-14T07:38:52Z,llama.cpp,2969d6d15d67a08e7b83f26164b15350c79c5248,Qwen3-0.6B,F16,12,none,434.91,37.88,1509347136,16.0,,,llama-bench,p512 n128 r3; no-imatrix
2026-07-14T07:38:52Z,llama.cpp,2969d6d15d67a08e7b83f26164b15350c79c5248,Qwen3-0.6B,F16,24,none,764.92,39.07,1509347136,16.0,,,llama-bench,p512 n128 r3; no-imatrix
2026-07-14T07:38:52Z,llama.cpp,2969d6d15d67a08e7b83f26164b15350c79c5248,Qwen3-0.6B,F16,48,none,142.15,0.5,1509347136,16.0,,,llama-bench,p512 n128 r3; no-imatrix
2026-07-14T07:38:52Z,llama.cpp,2969d6d15d67a08e7b83f26164b15350c79c5248,Qwen3-0.6B,F16,12,node0-cpubind,511.81,45.86,1509347136,16.0,,,llama-bench,p512 n128 r3; numactl --cpunodebind=0 (membind EPERM in container); no-imatrix
2026-07-14T07:38:52Z,llama.cpp,2969d6d15d67a08e7b83f26164b15350c79c5248,Qwen3-0.6B,Q4_K_M,24,none,,,484219712,5.09,20.0231,18.4881,llama-perplexity,wt2-raw full test; ctx2048; no-imatrix
2026-07-14T07:38:52Z,llama.cpp,2969d6d15d67a08e7b83f26164b15350c79c5248,Qwen3-0.6B,Q4_K_M,1,none,80.26,21.3,484219712,5.09,,,llama-bench,p512 n128 r3; no-imatrix
2026-07-14T07:38:52Z,llama.cpp,2969d6d15d67a08e7b83f26164b15350c79c5248,Qwen3-0.6B,Q4_K_M,6,none,409.57,68.49,484219712,5.09,,,llama-bench,p512 n128 r3; no-imatrix
2026-07-14T07:38:52Z,llama.cpp,2969d6d15d67a08e7b83f26164b15350c79c5248,Qwen3-0.6B,Q4_K_M,12,none,706.27,91.87,484219712,5.09,,,llama-bench,p512 n128 r3; no-imatrix
2026-07-14T07:38:52Z,llama.cpp,2969d6d15d67a08e7b83f26164b15350c79c5248,Qwen3-0.6B,Q4_K_M,24,none,936.5,100.82,484219712,5.09,,,llama-bench,p512 n128 r3; no-imatrix
2026-07-14T07:38:52Z,llama.cpp,2969d6d15d67a08e7b83f26164b15350c79c5248,Qwen3-0.6B,Q4_K_M,48,none,209.14,0.44,484219712,5.09,,,llama-bench,p512 n128 r3; no-imatrix
2026-07-14T07:38:52Z,llama.cpp,2969d6d15d67a08e7b83f26164b15350c79c5248,Qwen3-0.6B,Q4_K_M,12,node0-cpubind,765.22,90.13,484219712,5.09,,,llama-bench,p512 n128 r3; numactl --cpunodebind=0 (membind EPERM in container); no-imatrix
2026-07-14T07:38:52Z,llama.cpp,2969d6d15d67a08e7b83f26164b15350c79c5248,Qwen3-0.6B,Q4_0,24,none,,,469080896,4.93,20.9906,18.4881,llama-perplexity,wt2-raw full test; ctx2048; no-imatrix
